algorithm,n,time,comparisons,depth,allocations
mergesort,100,0,333000,604,2,300
quicksort,100,0,526600,618,11,0
select(k=50),100,1,716900,101,5,8
closestpair,100,24,991100,117,6,0
mergesort,1000,0,433900,9454,5,6000
quicksort,1000,0,385400,10444,18,0
select(k=500),1000,0,459800,1003,7,19
closestpair,1000,5,444000,1136,9,0
mergesort,5000,1,066100,55214,8,45000
quicksort,5000,0,474100,73333,28,0
select(k=2500),5000,0,551500,5095,11,32
closestpair,5000,7,647900,6412,11,0
mergesort,10000,0,849000,119876,9,100000
quicksort,10000,0,547100,151286,27,0
select(k=5000),10000,2,072100,10117,11,35
closestpair,10000,19,133200,12918,12,0
